candidate_label,occurrences,deck_count,metric_types,sample_values,sample_context_1,sample_context_2,sample_context_3,sample_slides
the marvels,1,1,percentage:1,100%,anderpump Villa | Wish - Shogun | The Marvels - 100% SOV across both weeks - ![rId6](slide_8_image_rI,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-37
that second-half acceleration fueled over,1,1,currency:1,$500,year. That second-half acceleration fueled over $500K in total added value which delivered primarily,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
ted for only 6% of total h1 investment but led to,1,1,percentage:1,8%,ted for only 6% of total H1 investment but led to 8% of total launches! ![rId3](slide_64_image_rId3.jp,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-49
targeted ros and,1,1,percentage:1,100%,internal business objectives. - Targeted ROS and 100% SOV High Impact Roadblocks - Text Only Spring Pro,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-36
tallers - lapsed users - 22% - 63% - installers,1,1,percentage:1,78%,tallers - Lapsed Users - 22% - 63% - Installers - 78% - Active Users - 37% - Installed: All active LG T,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-23
t only + moana 2 video-enabled accounted for only,1,1,percentage:1,6%,t Only + Moana 2 video-enabled accounted for only 6% of total H1 investment but led to 8% of total lau,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-49
switching from,1,1,percentage:1,96%,just financial — it was strategic. Switching from 96% Static to… and suppression tactics We aligned t,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
streaming time,1,1,percentage:1,65%,"higher share of conversions (63% of all launches, 65% streaming time, 69% acquired years, 63% engaged u",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-52
stment delivered disproportionate impact for just,1,1,percentage:1,8%,stment delivered disproportionate impact for just 8% of spend.. - ![rId6](slide_46_image_rId6.jpg) -,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-75
static vs carousel companion vs 3d,1,1,percentage:1,68%,r></table> - Static vs Carousel Companion vs 3D - 68% of carousel creatives were static–the lowest perf,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-34
static to,1,1,percentage:1,96%,just financial — it was strategic. Switching from 96% Static to… and suppression tactics We aligned t,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
static 36% video,1,1,percentage:1,64%,jpg) ### Notes: Julia 258 Total Creatives/ Lines 64% Static 36% Video (Companion and 3D) (13.4M) RB,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-29
static - 96% - static - 64% - source,1,1,percentage:1,32%,Id5](slide_20_image_rId5.jpg) - Video Companion - 32% - Static - 96% - Static - 64% - Source: LG Ads 1P,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-28
static - 64% - source,1,1,percentage:1,96%,mage_rId5.jpg) - Video Companion - 32% - Static - 96% - Static - 64% - Source: LG Ads 1P Campaign Data,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-28
stalled - lapsed users - 26% - 66% - installers,1,1,percentage:1,74%,stalled - Lapsed Users - 26% - 66% - Installers - 74% - Active Users - 34% - Installed: All active LG T,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-18
st time executing lapsed audiences targeting with,1,1,currency:1,$220,"st time executing Lapsed Audiences targeting with $220K investment, achieved an efficient $4.82 CPE in",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-33
sed users - 24% - 67% - +1 ppt hoh - installers,1,1,percentage:1,76%,sed Users - 24% - 67% - +1 ppt HoH - Installers - 76% - +2 ppt HoH - Active Users - 33% - Installed: Al,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-18
s three premiere-day roadblocks reached,1,1,percentage:1,65%,"ks - Hulu’s three premiere-day Roadblocks reached 65% of all LG TVs exposed during Q2 and Q3, underscor",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-77
s footprint,1,1,percentage:1,25%,nity for continued growth across LG’s footprint - 25% - Penetration of LG MAUs - Source: LG Ad Solution,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-19
s - 26% - 66% - installers - 74% - active users,1,1,percentage:1,34%,s - 26% - 66% - Installers - 74% - Active Users - 34% - Installed: All active LG TV users who had the a,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-18
s - 22% - 63% - installers - 78% - active users,1,1,percentage:1,37%,s - 22% - 63% - Installers - 78% - Active Users - 37% - Installed: All active LG TV users who had the a,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-23
rotational strategy to suppression and supporting,1,1,percentage:1,90%,"rotational strategy to suppression and supporting 90% of EU markets (EU5, GR, HU, PL, TR). ![rId5](slid",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-24
ros not installed - roadblocks - 77%,1,1,percentage:1,4%,jpg) - Content Store RB - 8% - 11% - ROS Lapsed - 4% - ROS Not Installed - Roadblocks - 77% - *Untarge,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-27
ros lapsed - 4% - ros not installed - roadblock,1,1,percentage:1,11%,lide_20_image_rId3.jpg) - Content Store RB - 8% - 11% - ROS Lapsed - 4% - ROS Not Installed - Roadblock,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-27
ros - not installed58% - source,1,1,percentage:1,10%,_image_rId3.jpg) - ROS - Lapsed31% - Roadblocks - 10% - ROS - Not Installed58% - Source: LG Ad Solution,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-61
ros - not installed58%,1,1,percentage:1,10%,_image_rId3.jpg) - ROS - Lapsed31% - Roadblocks - 10% - ROS - Not Installed58% ### Notes: Speaker: Jul,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-25
ros - not installed,1,1,currency:1,$80,ls-to-acquisition- ratio. - ROS - Not Installed : $80K - - - Impressions - 10.8M - 19% - Installs to,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-58
roadblocks - 10% - ros - not installed58% - sou,1,1,percentage:1,31%,5M ![rId3](slide_53_image_rId3.jpg) - ROS - Lapsed31% - Roadblocks - 10% - ROS - Not Installed58% - Sou,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-61
roadblocks - 10% - ros - not installed58%,1,1,percentage:1,31%,5M ![rId3](slide_15_image_rId3.jpg) - ROS - Lapsed31% - Roadblocks - 10% - ROS - Not Installed58% ###,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-25
riorities aligned with the increases were around,1,1,percentage:1,100%,"riorities aligned with the increases were around: 100% Bundle Duo / Trio support, the EDTC launch or Unl",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
resulting in an incredibly efficient,1,1,percentage:1,0.61%,"7M launches, resulting in an incredibly efficient 0.61% app install rate, and 5.86% launch rate!",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-59
relaunched high impact,1,1,percentage:1,100%,"c & Romania reactivated) - Relaunched High Impact 100% SOV Strategies - FY25 Native Home Screen: UK, F",,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-4
reachh1,1,1,percentage:1,+18%,- Proxy ConversionsH1’25: 975.1K - H2’25: 1.6M - +18% - ReachH1’25: 14.6M - H2’25: 17.3M - +78% - Launc,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-23
re up to,1,1,percentage:1,74%,H2’24 - 71% of TVs installed - for H1 we’re up to 74% UK 2ppts IT: 2ppts FR: 2ppt DE: 2ppt Of TVs wit,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-17
rb 3d,1,1,currency:1,$48,(slide_51_image_rId3.jpg) ### Notes: 3/22 RB 3d: $48K Static: $21K Companion Video: $17K,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-55
rall disney+ audience across emea markets,1,1,percentage:1,+15%,rall Disney+ audience across EMEA markets - - - +15% - 56.4 mins - 64.7mins ![rId3](slide_12_image_rId,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-20
prime-time slot,1,1,percentage:1,28%,- 6HR (6pm-12am) prime-time slot - - - - - - 28% - Unique Reach - Source: LG Ads 1P Campaign Data,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-33
points,1,1,percentage:1,3%,y $44 last half was 44% not installed - went down 3% points ^^ More sporadic ROS – -Markets that we,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-28
pgrades - static assets dropped from 96% in h1 to,1,1,percentage:1,64%,"pgrades - Static assets dropped from 96% in H1 to 64% in H2, increasing video and interactive formats p",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-39
performance vs other emea rbs - with,1,1,currency:1,$110,"k Spotlight: Performance vs Other EMEA RBs - With $110K investment and 48% of RB budget, the UK roadbloc",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-52
performance vs other emea rbs - an investment of,1,1,currency:1,$110,"Performance vs Other EMEA RBs - An investment of $110K accounted for 48% of the total RB budget, delive",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-46
overall q2/q3 - hulu investment -,1,1,percentage:1,32%,de_47_image_rId8.jpg) - 66K - Proxy Conversions - 32% - Overall Q2/Q3 - Hulu Investment - 0.19% - Click,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-77
overall h2 - investment - 7x - markets - invest,1,1,percentage:1,15%,e_rId7.jpg) ![rId6](slide_48_image_rId6.jpg) - - 15% - Overall H2 - Investment - 7x - Markets - Invest,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-71
overall,1,1,currency:1,$110.42,d Sweden during 1H’24. ### Notes: CPA: Overall = $110.42 Germany = $240.63 Denmark = $117.15 UK = $76.92 S,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-46
ousel video upgrades - static assets dropped from,1,1,percentage:1,96%,"ousel Video Upgrades - Static assets dropped from 96% in H1 to 64% in H2, increasing video and interact",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-39
ounts for 30% of disney+ global investment - +,1,1,currency:1,$500,ounts for 30% of Disney+ Global Investment - +$500K in Added Value - Market Activation & Expansion,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
os lapsed - 4% - ros not installed - roadblocks,1,1,percentage:1,77%,OS Lapsed - 4% - ROS Not Installed - Roadblocks - 77% - *Untargeted RB: Impressions might also get del,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-27
or lower,1,1,currency:1,$5,"ROS - - EU5 countries delivered strong CPEs of ~$5 or lower, with the UK driving the most efficient",,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-28
only 8% of the domestic investment and drove over,1,1,percentage:1,16%,"only 8% of the Domestic investment and drove over 16% new users for Disney+, effectively engaging audie",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-37
of tvs installed - for h1 we,1,1,percentage:1,71%,lide_28_image_rId4.jpg) ### Notes: MEGAN H2’24 - 71% of TVs installed - for H1 we’re up to 74% UK 2ppt,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-17
of total xlob investment and represents 2x yoy gr,1,1,percentage:1,52%,"ngine of this growth, contributing $18M, which is 52% of total XLOB investment and represents 2X YoY gr",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
of total uk investment in june 2024 -,1,1,percentage:1,54%,Total Launches - 95% - of Total Streaming Hours - 54% - of total UK Investment in June 2024 - 1.1M - Un,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-38
of total streaming hours - 54% - of total uk in,1,1,percentage:1,95%,ide_8_image_rId4.jpg) - 94% - of Total Launches - 95% - of Total Streaming Hours - 54% - of total UK In,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-38
of total streaming hours - 19% - of total inves,1,1,percentage:1,72%,4% - Of Engaged Users - 69% - Of Total Launches - 72% - Of Total Streaming Hours - 19% - of total Inves,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-57
of total streaming hours - - 63% - of total la,1,1,percentage:1,65%,elivered a lower CPA! - 57% - Of Total Installs - 65% - Of Total Streaming Hours - - 63% - Of Total La,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-51
of total investment in uk - source,1,1,percentage:1,19%,Total Launches - 72% - Of Total Streaming Hours - 19% - of total Investment in UK - Source: LG Ad Solut,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-57
of total h2 budget,1,1,percentage:1,8%,"Power of Content Store Roadblock - Making up only 8% of total H2 budget, the content store roadblock a",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-39
of total h1 investment but led to 8% of total lau,1,1,percentage:1,6%,t Only + Moana 2 video-enabled accounted for only 6% of total H1 investment but led to 8% of total lau,,,Disney+ US FY25 H1/04_metrics_extracted.json#slide-49
of the total rb budget,1,1,percentage:1,48%,"r EMEA RBs - An investment of $110K accounted for 48% of the total RB budget, delivering 57% of all ins",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-46
of the total budget,1,1,percentage:1,46%,",318,179 (14 markets) EMEA FY23: $3,922,187 (EMEA 46% of the total budget) UEFA - RBs TO SUPPORT List 7",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-4
of the domestic investment and drove over 16% new,1,1,percentage:1,8%,"In FY24-H2, the Content Store Roadblock was only 8% of the Domestic investment and drove over 16% new",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-37
of streaming duration,1,1,percentage:1,65%,"g 57% of all installs, 63% of total app launches, 65% of streaming duration, 69% of acquired users, and",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-46
of rb budget,1,1,percentage:1,48%,"nce vs Other EMEA RBs - With $110K investment and 48% of RB budget, the UK roadblock generated a much h",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-52
of q4 uk,1,1,percentage:1,13%,"n Q4. - ![rId6](slide_45_image_rId6.jpg) - - - 13% - Of Q4 UK, DE, IT, & FR Investment - 2x - Higher",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-76
of march,1,1,percentage:1,100%,"and, Romania, Spain, & UK - Flight: 29 of March - 100% SOV - 6HR (6pm-12am) & 12HRs (12pm-12am) - - -",,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-37
of lg footprint by eoy,1,1,percentage:1,63%,"- Rolling out on LG TV models from 2020 onward (~63% of LG footprint by EOY) - - Markets: US, UK, ES,",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-15
of installed users are lapsed efficiency gains,1,1,percentage:1,70%,urkey: Major Opportunity Market 30% Not Installed 70% of Installed Users are Lapsed Efficiency Gains: H,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-16
of imp ran as carousel video,1,1,percentage:1,90%,"nly ### Notes: Speaker: Julia For The Acolyte, 90% of imp ran as Carousel Video. Of the entire camp",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-33
of h2 investment - source,1,1,percentage:1,22%,32 - 3D - Video Companion - 2% of H2 Investment - 22% of H2 Investment - Source: LG Ads 1P Campaign Dat,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-64
of h2 and had a much stronger presence this half,1,1,percentage:1,51%,"home screen takeovers, and AV, Disney was active 51% of H2 and had a much stronger presence this half",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-29
of h1 carousel assets were static and only 60% in,1,1,percentage:1,96%,n efficiency. Carousel Video Upgrades: Given that 96% of H1 Carousel assets were Static and only 60% in,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-39
of disney+ h1 investment,1,1,percentage:1,40%,- $6.9M (+63% vs. H1 FY24) - EMEA accounts for 40% of Disney+ H1 investment - $224K in Added Val,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-4
of disney+ global investment - +,1,1,percentage:1,30%,Investment - $18M (2x FY24) - EMEA accounts for 30% of Disney+ Global Investment - +$500K in Adde,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
of carousel creatives were static,1,1,percentage:1,68%,r></table> - Static vs Carousel Companion vs 3D - 68% of carousel creatives were static–the lowest perf,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-34
of assets adopted dynamic video formats,1,1,percentage:1,40%,"el Companion and 3D Animated creatives, as nearly 40% of assets adopted dynamic video formats, a proven",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-28
of all lg tvs exposed during q2 and q3,1,1,percentage:1,65%,"ks - Hulu’s three premiere-day Roadblocks reached 65% of all LG TVs exposed during Q2 and Q3, underscor",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-77
of active lg tvs remain untapped,1,1,percentage:1,70%,"old on LG TVs, but with reach at only 30%, nearly 70% of active LG TVs remain untapped, presenting a cl",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-17
not-installed,1,1,currency:1,$59,"+ takeovers June ROS: $36k lapsed, Not-installed $59k",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-38
not installed 70% of installed users are lapsed e,1,1,percentage:1,30%,nd campaign mix. Turkey: Major Opportunity Market 30% Not Installed 70% of Installed Users are Lapsed E,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-16
not installed - went down 3% points,1,1,percentage:1,44%,ther markets always on -Turkey $44 last half was 44% not installed - went down 3% points ^^ More spor,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-28
not - installed - lapsed users - 26%,1,1,percentage:1,66%,Id5.jpg) - Not - Installed - Lapsed Users - 26% - 66% - Installers - 74% - Active Users - 34% - Install,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-18
not - installed - lapsed users - 24%,1,1,percentage:1,67%,Id4.jpg) - Not - Installed - Lapsed Users - 24% - 67% - +1 ppt HoH - Installers - 76% - +2 ppt HoH - Ac,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-18
non installers - lapsed users - 22%,1,1,percentage:1,63%,rId4.jpg) - Non Installers - Lapsed Users - 22% - 63% - Installers - 78% - Active Users - 37% - Install,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-23
nicole/julia sweden h1,1,1,currency:1,$122,"ing. ### Notes: Speaker: Nicole/Julia Sweden H1: $122,780 (ROS) High Not Installed budgets with Lapsed",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-27
nicole/ widya,1,1,currency:1,$32.32,12.02 France H1 = $17.66 UK H1= $15.15 Sweden H1= $32.32 Nicole/ Widya,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-27
nicole last half,1,1,currency:1,$2.05,Targeting. ### Notes: Speaker: Nicole Last half $2.05 Added 5x Markets of Lapsed– expanded Lapsed ROS,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-15
ng new content or apps to download - investment,1,1,currency:1,$162.9,ng new content or apps to download - Investment - $162.9K - Unique Reach / Frequency - 1.8M / 3.4x ![rId3],,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-38
new users for disney+,1,1,percentage:1,16%,"only 8% of the Domestic investment and drove over 16% new users for Disney+, effectively engaging audie",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-37
nearly,1,1,percentage:1,70%,"old on LG TVs, but with reach at only 30%, nearly 70% of active LG TVs remain untapped, presenting a cl",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-17
nced approach for evergreen + takeovers june ros,1,1,currency:1,$36,"nced approach for evergreen + takeovers June ROS: $36k lapsed, Not-installed $59k",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-38
native ros,1,1,percentage:1,0.54%,f 0.36% (3x benchmark) and strong install rate of 0.54% Native ROS (targeting non installers) has the mos,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-32
multi-card - static - video-enabled - source,1,1,percentage:1,+142%,- +166% - +179% - +167% - +94% - +102% - +153% - +142% - Multi-Card - Static - Video-Enabled - Source: L,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-69
more investment,1,1,percentage:1,18%,"M July: 496.8K Aug: 6.56M Sept:7.49M Vs H1 H2 had 18% more investment, a 14% more efficient CPA, and 31",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-26
more efficient cpes,1,1,percentage:1,47%,"ic, as Q1 video carousels drove 2.8x higher CTRs, 47% more efficient CPEs, and 8 additional minutes in-",,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-31
mins - 60mins,1,1,percentage:1,+15%,e_29_image_rId4.jpg) - - - 52 - mins - 60mins - +15% - - Overall Audience - LG Exposed Audience - Sou,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-16
mins - 55mins,1,1,percentage:1,+8%,e_30_image_rId4.jpg) - - - 51 - mins - 55mins - +8% - - Disney+ Overall Audience - Exposed to Paid D,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-19
megan turkey shows substantial growth potential,1,1,percentage:1,30%,"Megan Turkey shows substantial growth potential: 30% of LG TVs do not have Disney+ installed, and of t",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-16
megan emea fy24,1,1,currency:1,$4,"o Carousel ### Notes: SPEAKER: Megan EMEA FY24: $4,318,179 (14 markets) EMEA FY23: $3,922,187 (EMEA",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-4
major opportunity market 30% not installed,1,1,percentage:1,70%,urkey: Major Opportunity Market 30% Not Installed 70% of Installed Users are Lapsed Efficiency Gains: H,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-16
major opportunity market,1,1,percentage:1,30%,nd campaign mix. Turkey: Major Opportunity Market 30% Not Installed 70% of Installed Users are Lapsed E,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-16
m with lg ads in fy24,1,1,currency:1,$9.4,"$17M Endeavor - Disney Streaming Global invested $9.4M with LG Ads in FY24, EMEA accounted for $4.3M",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-4
m with lg ads,1,1,currency:1,$9.4,"$17M Endeavor - Disney Streaming Global invested $9.4M with LG Ads, Domestic accounted for $3.8M of t",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-4
m vs h1 h2 had,1,1,percentage:1,18%,"M July: 496.8K Aug: 6.56M Sept:7.49M Vs H1 H2 had 18% more investment, a 14% more efficient CPA, and 31",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-26
m surpassed tier 2 in 6 months - disney+ global fy,1,1,currency:1,$17,hts - - Disney XLOB FY25 Partnership: Renewed at $17M surpassed Tier 2 in 6 months - Disney+ Global FY,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-4
m per quarter,1,1,currency:1,$1,"orld Cup)—US Sports Hub minimums will increase to $1M per quarter, reflecting the anticipated rise in",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-12
m of the investment - number of markets and inve,1,1,currency:1,$4.3,"d $9.4M with LG Ads in FY24, EMEA accounted for $4.3M of the investment - Number of Markets and inve",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-4
m of the investment,1,1,currency:1,$3.8,"vested $9.4M with LG Ads, Domestic accounted for $3.8M of the investment, up 13% YoY - Successfully la",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-4
m landing in the second half of the year,1,1,currency:1,$3.168,", nearly half of our global FY25 investment, with $3.168M landing in the second half of the year. That se",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
m investment across 20 lines of business - disney+,1,1,currency:1,$34,Year at a Glance - Disney XLOB FY25 Partnership: $34M Investment across 20 Lines of Business - Disney+,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
m investment,1,1,currency:1,$2.56,1_image_rId6.jpg) ### Notes: Speaker: Julia H1: $2.56M Investment 14.6M Reach 15x Freq 12M Launches 876,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-21
m in total investment,1,1,currency:1,$34,"exceptional year for (XLOB) growth. We delivered $34M in total investment, up 77% YoY, despite origina",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
m in total,1,1,currency:1,$8.5,"tically (USA), Disney+ came in incredibly strong. $8.5M in total — with two-thirds of that booked in the",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
m in booked revenue across disney xlob for fy25,1,1,currency:1,$17,0) Live in 16 Markets we've officially surpassed $17M in booked revenue across Disney XLOB for FY25. T,,,Disney+ EMEA FY25 H1/04_metrics_extracted.json#slide-4
m endeavor as the foundation,1,1,currency:1,$17,"ts: FY25 was our highest-growth year yet. With a $17M endeavor as the foundation, we expanded into a $",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
m endeavor,1,1,currency:1,$17,"ment, up 77% YoY, despite originating from only a $17M endeavor. Disney Streaming Global was the primar",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
m carousel budget,1,1,currency:1,$1.96,"aker: Julia Video companion made up <17% of total $1.96M carousel budget, but generated nearly 50% of la",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-34
m business,1,1,currency:1,$34,"7M endeavor as the foundation, we expanded into a $34M business — a 77% year-over-year lift. Disney Str",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-4
m budget,1,1,currency:1,$2.25,"ya: Updated - EMEA Disney+ 2H’24 CPE - - - With $2.25M budget, Disney+ achieved an efficient $3.06 CPE",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-30
lthough home screen roadblocks accounted for just,1,1,percentage:1,15%,"lthough Home Screen Roadblocks accounted for just 15% of H2 spend within 7x markets, they generated ove",,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-71
location for app-download intenders led to a near,1,1,percentage:1,+200%,"location for app-download intenders led to a near +200% install lift, making this activation a key contri",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-42
less than,1,1,percentage:1,5%,thin individual households. ### Notes: Less than 5% duplication against other OEMs gives you the scal,,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-7
launchesh1,1,1,percentage:1,+78%,1.6M - +18% - ReachH1’25: 14.6M - H2’25: 17.3M - +78% - LaunchesH1’25: 12.0M - H2’25: 21.2M - -32% - Co,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-23
last half was 44% not installed - went down 3% po,1,1,currency:1,$44,"Otherwise, all other markets always on -Turkey $44 last half was 44% not installed - went down 3% po",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-28
last half was 44% not installed - went down,1,1,percentage:1,3%,y $44 last half was 44% not installed - went down 3% points ^^ More sporadic ROS – -Markets that we,,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-28
last half 11% investment,1,1,percentage:1,22%,ge_rId5.jpg) ### Notes: Last Half 11% investment 22% launches 3x acquired users 4x more efficient CPA,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-67
last half,1,1,percentage:1,11%,5](slide_57_image_rId5.jpg) ### Notes: Last Half 11% investment 22% launches 3x acquired users 4x more,,,Disney+ EMEA  FY25 H2/04_metrics_extracted.json#slide-67
lapsed ros,1,1,currency:1,$220,"ive = 40%, Lapsed = 60%. ### Notes: LAPSED ROS - $220k Not Installed ROS: $80k 300k over the course of",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-23
lapsed,1,1,percentage:1,60%,"76%, Not Installed = 24%, Active = 40%, Lapsed = 60%. ### Notes: LAPSED ROS - $220k Not Installed ROS",,,Disney+ US FY24 H2/04_metrics_extracted.json#slide-23
kotpota,1,1,currency:1,$46.00,".jpg) - - Taylor Swift Eras Tour (HU, PL) - CPA: $46.00 - KOTPOTA (IT, PL) - CPA: $16.58 - Source: LG Ad",,,Disney+ EMEA  FY24 H2/04_metrics_extracted.json#slide-60
